region,population,2000,2003,2004,2007,2008,2011,2012,2016,2018,2020,2021,2024
Орловская область,609854,1553.743186,67461.55747,N/A,73493.09528,104843.1118,59039.77404,28122.656,50814.45811,42874.15055,N/A,49460.46272,N/A
Пензенская область,1034935,21857.00065,88089.97154,94221.93771,201807.3865,233529.9182,175361.3427,119818.9246,190901.4442,147987.477,N/A,188685.6744,N/A
Пермский край,1986828,55162.14049,7399.851126,12695.0257,101080.9114,54850.53236,54907.80715,82300.06441,15963.55299,42202.17778,46625.95104,18143.79922,N/A
Приморский край,1445343,-27953.4281,17914.40163,107937.8293,103863.8747,148228.0114,58386.92174,164023.2222,46343.14931,64112.22356,427192.1957,92022.43051,N/A
Псковская область,517462,4148.59292,14326.05945,12300.88641,48567.80761,88617.71804,20705.21933,5648.963439,17197.31834,20329.94217,92463.31628,17208.10171,55278.12443
Республика Адыгея (Адыгея),341823,-14390.89164,33921.64027,85704.41729,45099.52544,58981.56625,78604.8662,-1490.064045,29979.0988,49155.89531,N/A,90339.46063,N/A
Республика Башкортостан,3000123,426087.6389,184541.1507,N/A,N/A,N/A,N/A,767933.9312,N/A,N/A,N/A,N/A,N/A
Республика Бурятия,694912,14540.47806,25275.66876,59017.20428,82605.98751,11994.26019,42977.59425,14205.14548,23071.96152,26646.93174,67547.16726,27261.40314,154698.8137
Республика Дагестан,1688021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Республика Ингушетия,234660,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Республика Калмыкия,196609,15313.84525,3615.087171,N/A,15066.87391,28667.26519,46526.99875,31081.58371,47133.56982,22316.47674,N/A,13828.46206,N/A
Республика Карелия,508937,7943.998366,-1282.449688,27280.40478,2337.857104,11221.90587,14782.55893,-6322.625125,-2783.179873,524.4958449,19056.25874,3089.608501,-16155.50943
Республика Коми,642727,-12041.1284,2150.523229,10672.52442,12684.02311,38339.35746,N/A,55541.75909,3656.329912,10612.7981,-22515.59384,4338.377618,21584.85584
Республика Марий Эл,531951,3979.648017,-1838.046222,24797.25336,118899.7892,165003.9938,86077.59851,44389.26888,9625.330155,15758.60903,N/A,12616.36687,29935.96023
Республика Мордовия,588007,106887.3139,214892.0418,N/A,N/A,N/A,N/A,N/A,N/A,181588.9664,N/A,153962.2707,N/A
Республика Саха (Якутия),656177,,10127.31315,24339.19191,-3416.105876,34208.36444,62169.41517,34171.02052,29434.29841,22029.69312,44464.3606,8239.379489,31357.02636
Республика Северная Осетия - Алания,520108,-11380.14771,31602.76963,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Республика Татарстан (Татарстан),2934197,449747.7584,651043.0598,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Республика Тыва,197471,N/A,12395.82397,41359.25316,55900.20489,70807.51432,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Республика Хакасия,393270,8102.886232,-6365.840343,-2013.957438,19785.728,9264.343513,18454.88889,6259.832461,3326.415827,-12096.37839,42727.28316,2414.398699,N/A
Ростовская область,3396292,51787.41648,187580.2523,511808.2639,439830.2588,744233.7367,268436.7439,208413.6865,411435.9277,264912.9272,N/A,467987.8145,N/A
Рязанская область,892151,30136.43426,6290.518632,47280.48623,40038.44617,42879.78629,41285.95554,71799.00038,87923.0454,72481.85023,N/A,97337.5544,N/A
Самарская область,2417693,-28983.35235,7073.733496,22757.8794,157545.5287,116030.9339,155938.4029,90676.16517,230819.2378,128482.1734,N/A,190536.3562,628570.619
Саратовская область,1863951,200622.3408,193606.4313,308749.5687,205560.96,N/A,360040.3434,261101.1815,N/A,207766.5609,N/A,317156.0081,N/A
Сахалинская область,381924,1533.15393,4475.126779,13481.48464,27996.0654,19608.37608,-5977.075629,1325.813573,10087.66667,15541.63762,18123.04801,11665.973,N/A
Свердловская область,3320579,11780.34403,11895.92199,71690.19753,36563.11608,26296.25667,26963.82775,85215.91061,20132.38043,-6410.589998,120751.9391,15830.63414,-249476.8109
Смоленская область,765958,15628.77567,18429.53744,41799.90118,35698.21611,61283.28154,7081.565524,23505.23796,30540.99775,7658.254809,81693.5048,31088.49047,60198.99809
Ставропольский край,1889006,-26760.47219,8470.269036,18087.63138,58454.88226,159458.8901,123068.0531,93004.09538,54336.55175,N/A,N/A,N/A,N/A
Тамбовская область,816592,21620.23455,6952.158281,25388.59403,48799.20523,N/A,N/A,4673.221774,60816.31387,182168.4694,N/A,138292.6194,N/A
Тверская область,1030166,29494.24092,5408.656763,34729.22366,45408.31753,76372.20535,56213.01275,40432.97481,28157.5455,9732.549947,86936.72262,30383.27394,153567.9006
Томская область,764586,17155.91441,22213.45078,14302.13137,44530.38134,28580.04246,6936.255023,784.2322781,5255.978215,6092.228216,20918.93614,-524.9788069,10743.03336
Тульская область,1155123,25488.19957,4259.643446,13295.81041,56501.17393,N/A,N/A,58879.92873,67007.90025,76694.92003,N/A,150735.3669,N/A
Тюменская область,1134520,29581.34222,39694.36101,104036.5014,227761.7423,281587.3172,262463.5517,68068.21321,N/A,188205.3168,N/A,158203.9432,N/A
Удмуртская Республика,1162838,4672.616911,60068.62676,107476.716,70008.76981,95955.55217,65205.85491,69282.16357,76478.51943,39759.90977,79101.40118,37649.29238,66967.38682
Ульяновская область,966119,17358.72391,49850.99847,45231.96364,116983.8983,91544.60067,97894.40744,65791.27811,96719.22515,65131.32295,78494.81787,62728.9921,90858.1465
Хабаровский край,967918,-2157.44616,8210.84432,45336.75708,28901.66536,-12687.72937,18951.18261,17121.0492,19217.19109,-5278.339929,19193.79317,9682.034397,45590.32388
Ханты-Мансийский автономный округ - Югра,1160364,49569.66154,9827.163067,21403.51119,3513.670762,71511.8399,43708.36094,38972.35746,37535.98441,36208.75182,128919.6177,87125.49298,N/A
Челябинская область,2581920,-41337.75868,35654.15646,102618.6158,104977.2351,85043.48304,210233.9524,42262.06601,25426.01484,-6426.638697,23926.96418,56603.57431,N/A
Чеченская Республика,774445,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Чувашская Республика - Чувашия,910469,,24669.42815,13128.50943,137701.2146,94187.30734,75789.53259,99413.81358,106518.5635,82071.12145,134610.6174,55474.52297,83657.5514
Ямало-Ненецкий автономный округ,376637,-13074.27846,2517.478845,N/A,N/A,N/A,N/A,N/A,35683.75176,N/A,N/A,N/A,N/A
Ярославская область,1005541,27274.54008,6679.25103,25029.26786,30404.7388,15202.66827,-4789.441825,30023.21732,16731.89941,-5641.428792,20471.95829,24845.43506,62654.42026
город Москва,7766026,-34014.38807,-23501.97961,207222.4388,202391.6929,985781.4975,996530.1821,53979.07874,73746.84685,36376.56664,572521.1722,501989.5635,127000.0717
город Санкт-Петербург,3937863,41914.90903,-9423.820627,40208.04959,17203.42514,N/A,113972.1001,206237.3385,45291.29555,17294.54088,N/A,91923.74841,-151113.3334
