"region","population",2000,2003,2004,2007,2008,2011,2012,2016,2018,2020,2021,2024,"ДЭГ в 2024"
"Новгородская область",481954,-3.7106328,16.28284568,13.1556179,16.59933422,12.6935308,10.24022177,6.817033878,15.76481145,5.005611765,19.00052312,13.10354793,8.768751616,"TRUE"
"Новосибирская область",2150535,3.219354639,5.197547303,-3.109928085,7.400874729,8.124374615,20.75809691,8.141310353,8.944809825,3.284092499,13.28718673,21.21418896,12.3342947,"TRUE"
"Омская область",1473908,13.15753079,15.53185589,6.963973536,28.71192484,"N/A",21.96787568,11.55248585,25.60229237,5.107935415,13.58231605,25.08636221,17.31470603,"FALSE"
"Оренбургская область",1524026,-2.388454408,-3.364816736,-6.890199205,13.1203353,10.62623872,8.952345863,2.957676075,16.51563827,6.447339341,"N/A",18.34461323,21.9747118,"FALSE"
"Орловская область",609854,0.6433879043,31.86673412,"N/A",26.13134288,31.71154115,35.49449847,11.84047021,30.86604311,12.26563253,"N/A",41.86774683,"N/A","FALSE"
"Пензенская область",1034935,5.469514569,29.60967635,19.89139079,36.56845126,39.5041416,42.95934686,24.47171995,44.91196339,23.72529507,"N/A",56.48493754,"N/A","FALSE"
"Пермский край",1986828,6.385844777,1.813480096,1.33661255,14.06167038,6.963590659,14.89202973,11.19984764,5.138841116,4.259980436,6.354283215,6.996575413,"N/A","TRUE"
"Приморский край",1445343,-7.229609079,9.181975575,18.72223945,22.13321515,24.22152979,24.20153189,29.30084892,21.62818722,10.99915825,59.55948539,40.38639947,"N/A","FALSE"
"Псковская область",517462,1.491082073,11.13014858,4.647631545,21.96147755,31.65823022,18.40856657,2.675458671,16.41686078,7.873291988,39.99572472,18.59028975,24.37941282,"TRUE"
"Республика Адыгея (Адыгея)",341823,-14.37953181,37.22049252,46.54585496,31.66078755,39.0002025,57.60581753,-1.055555273,27.57789176,24.21389179,"N/A",58.5001623,"N/A","FALSE"
"Республика Башкортостан",3000123,30.82039448,21.46603606,"N/A","N/A","N/A","N/A",44.56663524,"N/A","N/A","N/A","N/A","N/A","FALSE"
"Республика Бурятия",694912,8.339103641,20.56035658,19.93299208,31.13623472,3.529291007,23.25149279,5.21804845,18.44886135,8.082861676,20.67553122,20.60574689,36.00669719,"FALSE"
"Республика Дагестан",1688021,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","FALSE"
"Республика Ингушетия",234660,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","FALSE"
"Республика Калмыкия",196609,19.84044212,5.610788551,"N/A",15.1561436,28.21997853,51.90717772,33.41459041,55.12633749,19.53934906,"N/A",35.69556547,"N/A","FALSE"
"Республика Карелия",508937,3.186802833,-1.14123346,11.56488396,1.327573597,5.333580099,16.33684651,-3.701511091,-3.513627998,0.2424696713,11.35612478,4.843785374,-8.212355219,"TRUE"
"Республика Коми",642727,-3.786625533,1.614216079,3.32752098,4.162380833,9.98719863,"N/A",16.27859702,3.460107231,3.667413581,-10.22952506,5.832642231,7.54670381,"FALSE"
"Республика Марий Эл",531951,2.298049959,-1.659680373,10.37811205,41.44091583,50.13353238,43.36271877,19.42178605,7.129979818,5.975394458,"N/A",15.39163205,20.83772138,"FALSE"
"Республика Мордовия",588007,32.94232833,52.57091877,"N/A","N/A","N/A","N/A","N/A","N/A",44.86558441,"N/A",61.22490581,"N/A","FALSE"
"Республика Саха (Якутия)",656177,,6.371222583,7.523637155,-1.250157683,11.42655538,34.04491275,10.83824022,21.10742088,7.537678009,21.98561167,7.418453432,7.950524176,"FALSE"
"Республика Северная Осетия - Алания",520108,-5.371262564,28.11984556,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","FALSE"
"Республика Татарстан (Татарстан)",2934197,30.61951873,51.90737497,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","FALSE"
"Республика Тыва",197471,"N/A",21.12480439,40.56141023,47.34216223,60.04504115,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","FALSE"
"Республика Хакасия",393270,7.342231091,-10.76765958,-1.491268003,15.3935005,6.334940382,21.87920294,4.354241994,5.656592571,-7.181033069,30.4605251,4.92523347,"N/A","FALSE"
"Ростовская область",3396292,4.117661465,26.90587865,29.86410034,27.45706048,42.06285952,27.30016037,15.7674862,44.61915741,16.1669396,"N/A",54.89921561,"N/A","TRUE"
"Рязанская область",892151,8.939670628,3.806990385,10.69386991,12.65413619,11.83854069,20.51149906,19.42839681,39.99774607,15.84496686,"N/A",47.80517669,"N/A","FALSE"
"Самарская область",2417693,-4.086254313,1.70610509,2.474575542,21.42552514,12.4523432,29.40896742,9.952154014,35.43193856,10.41943631,"N/A",38.21013291,38.5140586,"FALSE"
"Саратовская область",1863951,25.02352283,35.76515328,30.39023266,25.75538761,"N/A",41.79308743,27.97396767,"N/A",21.09213109,"N/A",51.14000762,"N/A","FALSE"
"Сахалинская область",381924,1.270544987,6.889049844,8.976406,20.40484931,14.09001982,-7.503704261,1.052308159,15.76493509,10.38379765,9.729868683,21.87916916,"N/A","FALSE"
"Свердловская область",3320579,0.8950663405,2.072976715,4.771575196,2.761310218,1.841047815,4.611850183,6.383113869,3.516990739,-0.4127755473,10.69270235,2.840115634,-14.89226198,"TRUE"
"Смоленская область",765958,5.028320921,10.7863382,13.29289311,14.41077031,19.18447842,4.81667065,8.608842044,19.72512174,2.202610029,27.55884291,24.28902173,13.51601924,"FALSE"
"Ставропольский край",1889006,-3.965037195,2.748302737,2.471092544,8.706546457,19.29177778,24.86278545,12.0735618,12.1856243,"N/A","N/A","N/A","N/A","FALSE"
"Тамбовская область",816592,7.207994235,4.896127472,6.416462341,15.06348226,"N/A","N/A",1.052655452,22.76306705,36.89854171,"N/A",50.63215565,"N/A","FALSE"
"Тверская область",1030166,5.99840979,2.262913215,7.550898205,11.3848678,14.77398703,24.16018221,10.49100813,13.96537392,2.127286824,21.26424093,19.71071188,25.44949508,"FALSE"
"Томская область",764586,6.436621848,15.76148635,4.321930184,16.77795913,9.677652195,4.721560061,0.3011586867,4.898851911,1.86372217,9.44570751,-0.5082128645,3.580175745,"TRUE"
"Тульская область",1155123,5.688162156,2.041623584,2.761210914,12.32608558,"N/A","N/A",10.02592111,23.05640247,11.8476297,"N/A",46.57198949,"N/A","FALSE"
"Тюменская область",1134520,8.767439899,15.09549581,19.07058065,38.14325085,42.02921239,53.60797057,11.22824657,"N/A",28.17575618,"N/A",44.25582227,"N/A","FALSE"
"Удмуртская Республика",1162838,0.9146462891,20.23725558,17.58482894,15.49593389,17.45789101,20.97615782,13.45909336,28.63002221,6.970775583,17.41358878,19.18797041,11.35924165,"FALSE"
"Ульяновская область",966119,4.993347632,24.45546519,10.26233585,25.82642656,20.78740208,35.62335608,17.07312264,38.02215034,13.70360645,20.86912146,36.54470848,15.94640426,"FALSE"
"Хабаровский край",967918,-0.6044045339,4.637296932,9.626721707,7.24481433,-2.552133871,8.922318345,4.682667317,13.87633031,-1.243170405,7.111999515,9.259345285,9.322564552,"FALSE"
"Ханты-Мансийский автономный округ - Югра",1160364,13.24966897,4.503307687,4.454675121,0.7556801247,13.53204291,17.97130114,8.297887747,17.59477276,6.031565083,26.43149518,38.22769007,"N/A","FALSE"
"Челябинская область",2581920,-4.632356386,7.480782286,8.313837903,9.322368603,7.021655524,25.57043168,3.768832407,5.596092651,-0.5052937109,2.018017216,13.77453874,"N/A","TRUE"
"Чеченская Республика",774445,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","FALSE"
"Чувашская Республика - Чувашия",910469,0,11.60428251,3.082627419,32.31019737,20.30213898,29.03223966,22.80201327,37.72104165,15.28260828,31.69277325,28.79818668,22.84882663,"TRUE"
"Ямало-Ненецкий автономный округ",376637,-9.609977629,2.51813356,"N/A","N/A","N/A","N/A","N/A",20.12063883,"N/A","N/A","N/A","N/A","FALSE"
"Ярославская область",1005541,5.399476985,2.849278868,5.525346666,8.638446118,3.76370746,-2.80330221,8.216152319,11.2309702,-1.194848371,5.482052691,19.26794346,15.16619189,"TRUE"
"город Москва",7766026,-1.580749231,-1.660521813,7.298792936,9.47020333,30.01512042,48.55812239,2.708192937,7.448582067,1.136790798,25.40930422,35.35414131,9.53657324,"FALSE"
"город Санкт-Петербург",3937863,2.822934891,-1.892010526,2.569206088,1.772569502,"N/A",16.2144156,14.69921518,9.158322947,0.9975774218,"N/A",17.89684587,-6.521688782,"FALSE"
